date,location,secchi
9/28/79,E,7.70
10/8/79,E,6.50
10/31/79,E,9.40
11/22/79,E,7.50
12/6/79,E,4.60
12/27/79,E,8.70
1/17/80,E,7.60
2/7/80,E,10.00
2/21/80,E,9.10
3/20/80,E,8.70
3/26/81,E,6.90
4/23/81,E,3.90
5/29/81,E,5.30
7/1/81,E,6.40
8/3/81,E,9.20
8/21/81,E,7.00
10/2/81,E,8.10
11/13/81,E,12.60
12/14/81,E,8.20
1/19/82,E,7.50
3/23/82,E,5.70
4/27/82,E,5.30
6/28/82,E,3.50
7/19/82,E,5.80
8/24/82,E,7.40
10/2/82,E,7.50
11/22/82,F,7.10
11/22/82,P,8.40
1/17/83,F,7.30
1/17/83,P,9.70
2/21/83,F,9.50
2/21/83,P,10.50
1/4/06,E,2.40
1/7/06,E,5.22
1/9/06,E,2.99
1/12/06,E,4.60
1/19/06,E,4.01
1/22/06,E,3.60
1/26/06,E,3.60
1/30/06,E,5.49
2/3/06,E,4.49
2/4/06,E,4.61
2/13/06,E,4.61
2/16/06,E,4.00
2/19/06,E,4.61
2/22/06,E,3.48
2/25/06,E,3.82
2/27/06,E,3.82
3/3/06,E,4.42
3/9/06,E,4.02
3/12/06,E,6.01
3/12/06,E,5.42
3/12/06,E,4.42
3/19/06,E,5.01
3/23/06,E,4.18
3/25/06,E,4.58
4/3/06,E,4.60
4/6/06,E,4.07
4/14/06,E,3.49
4/22/06,E,2.19
4/26/06,E,1.93
4/30/06,E,2.00
5/4/06,E,2.00
5/7/06,E,2.64
5/13/06,E,1.72
5/14/06,E,1.63
5/20/06,E,2.30
5/25/06,E,1.83
5/27/06,E,1.72
5/31/06,E,1.61
6/10/06,E,2.32
6/11/06,E,2.01
6/17/06,E,2.52
6/22/06,E,3.43
6/26/06,E,4.02
7/5/06,E,3.19
7/7/06,E,3.00
7/16/06,E,3.13
7/21/06,E,3.31
7/22/06,E,3.83
7/29/06,E,3.18
8/5/06,E,3.80
8/6/06,E,4.02
8/11/06,E,3.30
8/17/06,E,3.39
8/19/06,E,4.01
8/29/06,E,3.98
9/5/06,E,4.84
9/9/06,E,3.85
9/13/06,E,3.84
9/16/06,E,3.39
9/19/06,E,3.60
9/22/06,E,3.62
9/24/06,E,4.03
9/26/06,E,3.62
9/30/06,E,4.80
10/7/06,E,4.43
