location,lat,long,sampling_regime
A,14.804422,-87.976711,bi_annual
B,14.808447,-87.995239,landsat
C,14.812336,-87.982308,bi_annual
D,14.798242,-87.983581,bi_annual
E,14.8744,-87.983597,landsat
F,14.833714,-87.9919,landsat
G,14.847608,-87.968636,bi_annual
H,14.864083,-87.964758,bi_annual
I,14.856431,-87.994664,bi_annual
J,14.928897,-88.028058,bi_annual
K,14.87442,-87.99656,bi_annual
L,14.886922,-88.025822,bi_annual
M,14.888633,-88.013442,bi_annual
N,14.885744,-87.948711,bi_annual
O,14.887581,-87.958394,bi_annual
P,14.894278,-87.986828,landsat
Q,14.888969,-87.971867,bi_annual
R,14.914483,-88.020533,landsat
