system:index,Hylak_id,Latitude,Longitude,distance,type,.geo
00000000000000000002,868,15.269646550935457,-83.91541640966939,4036.087214122113,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.91541640966939,15.269646550935457]}"
00000000000000000004,9798,15.874085589691488,-84.79559270235103,2952.96461204668,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.79559270235103,15.874085589691488]}"
00000000000000000005,9800,15.804011171195457,-87.60645980828527,2220.360331117452,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.60645980828527,15.804011171195457]}"
00000000000000000007,9802,15.716546673774259,-84.43449474197594,1392.838827718412,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.43449474197594,15.716546673774259]}"
00000000000000000008,9803,15.596967393339066,-84.11541401814429,3324.1540277189324,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.11541401814429,15.596967393339066]}"
00000000000000000009,9804,15.508514165281412,-84.18929688575587,1697.056274847714,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.18929688575587,15.508514165281412]}"
0000000000000000000a,9807,15.183320942087223,-83.58964620736434,2596.1509971494343,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.58964620736434,15.183320942087223]}"
00000000000000000000,865,16.993093161584245,-89.81875992585421,2280.350850198276,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.81875992585421,16.993093161584245]}"
00000000000000000001,867,15.488501672279735,-89.18349910797058,8863.972021616495,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.18349910797058,15.488501672279735]}"
00000000000000000003,870,14.706599396878264,-91.1977041688279,3701.3511046643494,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1977041688279,14.706599396878264]}"
00000000000000000006,9801,15.71158894940861,-88.9022847650065,2195.449840010015,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.9022847650065,15.71158894940861]}"
0000000000000000000d,9814,14.268905791054994,-89.52792094789596,1941.6487838947598,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.52792094789596,14.268905791054994]}"
0000000000000000000f,9818,13.671657062551802,-89.04829853263801,3324.1540277189324,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.04829853263801,13.671657062551802]}"
0000000000000000000b,9808,15.018413588322748,-87.59953503506631,1208.3045973594571,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.59953503506631,15.018413588322748]}"
0000000000000000000e,9816,14.055627906316952,-89.06000047773567,1902.6297590440447,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.06000047773567,14.055627906316952]}"
0000000000000000000c,9809,14.879701643713386,-87.97562671161364,2563.201123595259,dp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.97562671161364,14.879701643713386]}"
